Date,City,Humidity,AcresBurned
20200101,Adelanto,31.15,120.36
20200101,Agoura Hills,42.6,49.94
20200101,Alameda,41.91,53.92
20200101,Albany,28.87,129.58
20200101,Alhambra,40.43,96.99
20200101,Aliso Viejo,1.92,38.45
20200101,Alturas,57.83,56.26
20200101,Amador City,23.24,48.63
20200101,American Canyon,49.92,56.07
20200101,Anaheim,1.53,97.48
20200101,Anderson,15.38,34.24
20200101,Angels Camp,15.73,49.85
20200101,Antioch,19.83,76.38
20200101,Apple Valley,17.32,60.69
20200101,Arcadia,19.95,121.5
20200101,Arcata,32.33,100.28
20200101,Arroyo Grande,37.17,93.46
20200101,Artesia,32.4,124.43
20200101,Arvin,53.03,94.12
20200101,Atascadero,21.34,122.15
20200101,Atherton,54.4,58.18
20200101,Atwater,32.95,39.22
20200101,Auburn,3.29,76.6
20200101,Avalon,41.34,46.01
20200101,Avenal,47.82,68.69
20200101,Azusa,20.77,121.22
20200101,Bakersfield,24.59,92.66
20200101,Baldwin Park,23.69,98.68
20200101,Banning,59.55,97.19
20200101,Barstow,48.52,31.55
20200101,Beaumont,31.68,124.25
20200101,Bell,27.02,86.72
20200101,Bell Gardens,41.26,64.18
20200101,Bellflower,36.6,63.93
20200101,Belmont,44.53,44.22
20200101,Belvedere,56.19,82.85
20200101,Benicia,38.24,116.41
20200101,Berkeley,22.99,70.18
20200101,Beverly Hills,36.39,113.93
20200101,Big Bear Lake,29.69,62.13
20200101,Biggs,44.1,129.64
20200101,Bishop,54.8,111.94
20200101,Blue Lake,9.7,117.86
20200101,Blythe,43.82,105.25
20200101,Bradbury,7.77,61.4
20200101,Brawley,25.3,121.31
20200101,Brea,1.84,90.07
20200101,Brentwood,7.64,52.4
20200101,Brisbane,32.43,96.96
20200101,Buellton,44.06,49.15
20200101,Buena Park,43.79,125.59
20200101,Burbank,11.45,52.27
20200101,Burlingame,37.57,103.11
20200101,Calabasas,32.14,55.98
20200101,Calexico,5.74,68.1
20200101,California City,12.07,33.06
20200101,Calimesa,6.22,84.88
20200101,Calipatria,51.99,93.17
20200101,Calistoga,39.45,58.66
20200101,Camarillo,20.69,94.12
20200101,Campbell,9.78,126.63
20200101,Canyon Lake,25.03,66.47
20200101,Capitola,46.51,129.57
20200101,Carlsbad,7.51,92.11
20200101,CarmelbytheSea,26.54,57.99
20200101,Carpinteria,59.43,115.46
20200101,Carson,20.3,40.79
20200101,Cathedral City,59.88,87.21
20200101,Ceres,25.12,46.39
20200101,Cerritos,38.47,121.6
20200101,Chico,24.74,85.33
20200101,Chino,32.34,89.56
20200101,Chino Hills,37.63,55.42
20200101,Chowchilla,25.68,40.38
